Proceso,Procedimiento,Tarea,Objetivo (por que se hace),Estado,Responsable actual,Frecuencia,Tiempo estimado (min),Volumen mensual,Horas-persona/mes,Motivo si falta,Prioridad,Observaciones
Gestion y Seguimiento de Clientes con Alta Recurrencia de Eventos (a confirmar nombre),Elaboracion y envio del informe semanal TOP10,Ingresar a monitoreo.com y generar el Resumen Semanal de Eventos,A completar,Se hace,RM (Ruben Moreyra),Semanal,A confirmar,4,A confirmar,,,Pasos 1-2 del instructivo Proceso-TOP10-06UB-AUE260420
Gestion y Seguimiento de Clientes con Alta Recurrencia de Eventos (a confirmar nombre),Elaboracion y envio del informe semanal TOP10,Filtrar por Total Operados y extraer el TOP10 de clientes,A completar,Se hace,RM (Ruben Moreyra),Semanal,A confirmar,4,A confirmar,,,Paso 3
Gestion y Seguimiento de Clientes con Alta Recurrencia de Eventos (a confirmar nombre),Elaboracion y envio del informe semanal TOP10,Actualizar planilla Evento Semana por Semana (nueva hoja+formato),A completar,Se hace,RM (Ruben Moreyra),Semanal,A confirmar,4,A confirmar,,,Pasos 4-5
Gestion y Seguimiento de Clientes con Alta Recurrencia de Eventos (a confirmar nombre),Elaboracion y envio del informe semanal TOP10,Completar fila de la semana en Eventos por Semana (indicadores),A completar,Se hace,RM (Ruben Moreyra),Semanal,A confirmar,4,A confirmar,,,Paso 6
Gestion y Seguimiento de Clientes con Alta Recurrencia de Eventos (a confirmar nombre),Elaboracion y envio del informe semanal TOP10,Completar hoja Analisis TOP10,A completar,Se hace,RM (Ruben Moreyra),Semanal,A confirmar,4,A confirmar,,,Paso 7
Gestion y Seguimiento de Clientes con Alta Recurrencia de Eventos (a confirmar nombre),Elaboracion y envio del informe semanal TOP10,Redactar correo del informe TOP10 con cuadros y enlaces,A completar,Se hace,RM (Ruben Moreyra),Semanal,A confirmar,4,A confirmar,,,Pasos 8-10
Gestion y Seguimiento de Clientes con Alta Recurrencia de Eventos (a confirmar nombre),Elaboracion y envio del informe semanal TOP10,Enviar correo del informe TOP10 a DIR/TEC/AYL,A completar,Se hace,RM (Ruben Moreyra),Semanal,A confirmar,4,A confirmar,,,Paso 11 - fin fase 1
Gestion y Seguimiento de Clientes con Alta Recurrencia de Eventos (a confirmar nombre),Elaboracion y envio del informe semanal TOP10,Indagar y documentar la gestion realizada con cada cliente del TOP10,A completar,Se hace,RM (Ruben Moreyra),Semanal,A confirmar,4,A confirmar,,Alta,"Paso 12 - Observaciones, requiere contactar a cada cliente/tecnico"
Gestion y Seguimiento de Clientes con Alta Recurrencia de Eventos (a confirmar nombre),Elaboracion y envio del informe semanal TOP10,Actualizar seguimiento del TOP10 de la semana anterior (Control Semana por Semana),A completar,Se hace,RM (Ruben Moreyra),Semanal,A confirmar,4,A confirmar,,,Paso 13
Gestion y Seguimiento de Clientes con Alta Recurrencia de Eventos (a confirmar nombre),Elaboracion y envio del informe semanal TOP10,Enviar respuesta final del informe con observaciones,A completar,Se hace,RM (Ruben Moreyra),Semanal,A confirmar,4,A confirmar,,,Pasos 14 y 16
Gestion de Red - sede propia (a confirmar nombre),Pendiente de desglose,Pendiente de desglose (a detallar con RM),A completar,Se hace,RM (Ruben Moreyra),Semanal (viernes),A confirmar,A confirmar,A confirmar,,,"Dia asignado: viernes, comparte el dia con Revision de eventos diarios (ver fila siguiente) - son dos procesos distintos en un solo dia"
Revision de Eventos Diarios (a confirmar nombre),Pendiente de desglose,Pendiente de desglose (a detallar con RM),A completar,Se hace,RM (Ruben Moreyra),Diaria,A confirmar,A confirmar,A confirmar,,,Se ejecuta todos los dias pero se prioriza/cierra los viernes junto con Red - revisar si es realmente semanal o diaria
Administracion General (AB),N/A,Control e impresion de R.E.E.,A completar,Se hace,AB,Mensual,60,1,No calcular aun,,,Dia/momento: Ultimo miercoles. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Administracion General (AB),N/A,Control y solicitud de CSID a CM,A completar,Se hace,AB,Quincenal,15,2,No calcular aun,,,Dia/momento: 2do y 4to jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Rutina Administrativa Diaria (RM),N/A,Aviso y coordinacion con ST,A completar,Se hace,RM,Diario,45,22,No calcular aun,,,Dia/momento: Primer dia. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Rutina Administrativa Diaria (RM),N/A,Subir informe de tareas diarias,A completar,Se hace,RM,Diario,5,22,No calcular aun,,,Dia/momento: Primer dia. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Rutina Administrativa Diaria (RM),N/A,Chequeo de ST realizados en el dia,A completar,Se hace,RM,Diario,15,22,No calcular aun,,,Dia/momento: Primer dia. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Rutina Administrativa Diaria (RM),N/A,Contestar mensajes de clientes/mail (primera hora),A completar,Se hace,RM,Diario,60,22,No calcular aun,,,Dia/momento: Primer dia. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Rutina Administrativa Diaria (RM),N/A,Revisar planilla de Procesos (primera hora),A completar,Se hace,RM,Diario,1,22,No calcular aun,,,Dia/momento: Primer dia. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Rutina Administrativa Diaria (RM),N/A,Revisar planilla de Procesos (ultima hora),A completar,Se hace,RM,Diario,1,22,No calcular aun,,,Dia/momento: Primer dia. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Coordinacion de Guardia,Coordinacion de Guardia,Recepcion de N de Ticket,A completar,Se hace,RM,Mensual,15,1,No calcular aun,,,Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Coordinacion de Guardia,Coordinacion de Guardia,Compartir N de Ticket en WhatsApp y Telegram,A completar,Se hace,RM,Mensual,5,1,No calcular aun,,,Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
